epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8344,1.47296,3.64573,1.4388,0.01692,0.19628,0.13353,0.10625,1.34593,3.93059,1.15436,7.497e-05,7.497e-05,7.497e-05
2,48.1236,1.26214,3.22514,1.26866,0.02033,0.21694,0.16594,0.14539,1.24348,3.79824,1.11461,0.000155136,0.000155136,0.000155136
3,71.2236,1.51989,2.70548,1.35788,0.01669,0.22934,0.16187,0.13417,1.33791,3.74647,1.14116,0.000232004,0.000232004,0.000232004
4,94.8593,1.33103,2.3119,1.30491,1,0.02026,0.17986,0.14521,1.48195,3.64679,1.19928,0.000305573,0.000305573,0.000305573
5,118.021,1.30158,2.0795,1.27254,1,0.05542,0.18873,0.15127,1.65454,3.50402,1.25358,0.000375843,0.000375843,0.000375843
6,141.283,1.20711,1.89519,1.25965,0.9955,0.1126,0.20525,0.15738,1.78648,3.3694,1.30239,0.000442814,0.000442814,0.000442814
7,164.893,1.2556,1.77257,1.25252,0.988,0.12289,0.21087,0.16569,1.82563,3.29983,1.3263,0.000506487,0.000506487,0.000506487
8,188.546,1.28305,1.57611,1.21189,0.76722,0.13688,0.20967,0.16163,1.7769,3.21274,1.29236,0.000566861,0.000566861,0.000566861
9,211.918,1.18351,1.5179,1.21647,0.77834,0.09617,0.18529,0.14079,1.78373,3.2903,1.27702,0.000623937,0.000623937,0.000623937
10,235.875,1.2966,1.43547,1.18486,0.9054,0.12897,0.16593,0.12507,1.78795,3.09445,1.26623,0.000677714,0.000677714,0.000677714
11,259.181,1.18561,1.37821,1.16847,0.90333,0.13636,0.16297,0.1189,1.78819,3.20724,1.24693,0.000668066,0.000668066,0.000668066
12,282.948,1.22181,1.37361,1.18589,0.94028,0.11364,0.16404,0.11111,1.80524,3.23124,1.25395,0.000651573,0.000651573,0.000651573
13,306.494,1.09734,1.31177,1.14082,0.65449,0.203,0.15795,0.10285,1.8397,3.23513,1.26652,0.000635079,0.000635079,0.000635079
14,329.982,1.26859,1.40839,1.20242,0.65991,0.12603,0.1496,0.10775,1.8721,3.4231,1.2958,0.000618586,0.000618586,0.000618586
15,353.935,1.2408,1.27691,1.18785,0.67703,0.13534,0.15805,0.11838,1.9153,3.50366,1.32734,0.000602092,0.000602092,0.000602092
16,377.209,1.22999,1.49128,1.22971,0.70076,0.15301,0.15803,0.12474,1.8882,3.63456,1.3263,0.000585599,0.000585599,0.000585599
17,401.002,1.19849,1.37925,1.19464,0.71705,0.24473,0.17263,0.1382,1.82918,3.56952,1.31927,0.000569106,0.000569106,0.000569106
18,424.485,1.1959,1.31659,1.16985,0.72415,0.1844,0.19092,0.15042,1.86309,3.53534,1.32678,0.000552612,0.000552612,0.000552612
19,447.504,1.16198,1.23,1.14963,0.72524,0.23682,0.19359,0.15043,1.90002,3.67949,1.35446,0.000536119,0.000536119,0.000536119
20,470.272,1.18478,1.33755,1.24632,0.73334,0.19999,0.19208,0.15101,1.90639,3.7069,1.37921,0.000519625,0.000519625,0.000519625
21,493.415,1.12874,1.16276,1.14822,0.73368,0.19655,0.18375,0.14728,1.91519,3.81534,1.41253,0.000503132,0.000503132,0.000503132
22,516.647,1.07207,1.16301,1.12474,0.73893,0.21781,0.18363,0.14872,1.87053,3.71995,1.43277,0.000486639,0.000486639,0.000486639
23,539.83,1.1506,1.21441,1.17851,0.7375,0.26913,0.18741,0.15254,1.81842,3.61301,1.42775,0.000470145,0.000470145,0.000470145
24,566.695,1.09344,1.15025,1.13772,0.74479,0.28984,0.19905,0.16182,1.82259,3.53743,1.43312,0.000453652,0.000453652,0.000453652
25,600.452,1.04966,1.11374,1.09906,0.75184,0.30951,0.21075,0.17042,1.83319,3.46754,1.43791,0.000437158,0.000437158,0.000437158
26,633.997,1.01528,1.10246,1.1127,0.74606,0.2981,0.21735,0.17257,1.85578,3.37858,1.43256,0.000420665,0.000420665,0.000420665
27,667.446,1.04149,1.08603,1.12794,0.74541,0.28605,0.21972,0.17248,1.82822,3.32124,1.41248,0.000404172,0.000404172,0.000404172
28,700.518,1.10361,1.13415,1.15006,0.74503,0.30475,0.21824,0.17101,1.79394,3.25185,1.38914,0.000387678,0.000387678,0.000387678
29,732.644,1.03625,1.09812,1.1218,0.73067,0.26832,0.21465,0.16695,1.76633,3.15495,1.36665,0.000371185,0.000371185,0.000371185
30,765.568,1.10121,1.07297,1.09006,0.72287,0.28431,0.21412,0.16701,1.78208,3.02165,1.37368,0.000354691,0.000354691,0.000354691
31,797.224,0.95246,0.99866,1.07707,0.72942,0.26467,0.21704,0.16608,1.79937,3.03616,1.37674,0.000338198,0.000338198,0.000338198
32,829.019,1.12066,1.08758,1.11801,0.72106,0.26034,0.21414,0.16136,1.80751,3.06346,1.3701,0.000321705,0.000321705,0.000321705
33,860.687,1.04629,1.07485,1.09992,0.71674,0.25239,0.21529,0.16078,1.79899,3.05168,1.35411,0.000305211,0.000305211,0.000305211
34,892.239,1.1489,1.16161,1.13457,0.70979,0.27718,0.2136,0.15764,1.77157,3.12587,1.34209,0.000288718,0.000288718,0.000288718
35,924.027,0.90348,1.01909,1.09374,0.71942,0.28822,0.21474,0.15715,1.76786,3.17879,1.34404,0.000272224,0.000272224,0.000272224
36,955.961,1.071,1.07245,1.09688,0.72049,0.26288,0.21327,0.16133,1.75859,3.20172,1.34157,0.000255731,0.000255731,0.000255731
37,987.432,1.03728,1.04493,1.11378,0.7376,0.26616,0.21557,0.16285,1.75922,3.21992,1.3486,0.000239238,0.000239238,0.000239238
38,1019.23,1.02332,1.00721,1.10047,0.75597,0.23873,0.2287,0.17208,1.77796,3.11123,1.34762,0.000222744,0.000222744,0.000222744
39,1047.93,0.96894,1.02598,1.06508,0.77057,0.24047,0.2405,0.17521,1.7893,3.04003,1.34477,0.000206251,0.000206251,0.000206251
40,1070.56,0.94679,0.98857,1.091,0.78915,0.23419,0.24909,0.17755,1.77989,2.94961,1.33499,0.000189757,0.000189757,0.000189757
41,1091.95,1.05376,1.0469,1.05395,0.77066,0.24452,0.24161,0.17636,1.78505,2.93504,1.3376,0.000173264,0.000173264,0.000173264
42,1113.33,1.04483,1.03085,1.03831,0.71541,0.22519,0.21965,0.16723,1.78403,2.85078,1.35487,0.000156771,0.000156771,0.000156771
43,1134.69,1.09833,1.05091,1.02416,0.70013,0.22046,0.21274,0.16391,1.77239,2.86605,1.35889,0.000140277,0.000140277,0.000140277
44,1156.02,1.06001,1.04927,1.0348,0.69934,0.21078,0.209,0.16242,1.78141,2.96659,1.37481,0.000123784,0.000123784,0.000123784
45,1177.33,1.04066,1.03425,1.05632,0.70516,0.22572,0.20609,0.16171,1.75628,2.99084,1.37581,0.00010729,0.00010729,0.00010729
46,1198.6,1.02005,1.01756,1.03411,0.71358,0.25289,0.20596,0.16204,1.75399,3.09917,1.38293,9.0797e-05,9.0797e-05,9.0797e-05
47,1219.97,0.95822,0.97237,1.01223,0.71923,0.26952,0.21114,0.16527,1.74187,3.06466,1.3765,7.43036e-05,7.43036e-05,7.43036e-05
48,1241.51,0.99363,1.00688,1.02229,0.72744,0.26333,0.21119,0.16557,1.72992,3.06898,1.37526,5.78102e-05,5.78102e-05,5.78102e-05
49,1263.19,0.98758,0.96008,0.99716,0.73495,0.26126,0.21093,0.16508,1.7085,3.08057,1.37275,4.13168e-05,4.13168e-05,4.13168e-05
50,1284.65,1.02952,1.02818,1.03794,0.7476,0.25919,0.21493,0.1675,1.712,3.06724,1.37471,2.48234e-05,2.48234e-05,2.48234e-05
