epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.965,1.08549,2.83046,1.10908,0.89304,0.34575,0.44459,0.36516,1.00797,2.04143,1.05903,0.000252564,0.000252564,0.000252564
2,322.632,1.04694,1.55626,1.0681,0.75496,0.53931,0.53927,0.42049,0.91927,1.31595,1.04797,0.0005005,0.0005005,0.0005005
3,483.815,0.95856,1.20354,1.03213,0.6719,0.70953,0.69956,0.52632,0.90522,1.15925,1.04753,0.000739978,0.000739978,0.000739978
4,639.652,0.92995,1.02517,1.01349,0.7282,0.76331,0.73515,0.54206,0.87751,1.02074,1.02908,0.000730935,0.000730935,0.000730935
5,788.378,0.91245,1.00298,1.02591,0.75874,0.7582,0.76265,0.56837,0.90052,0.92955,1.01556,0.000718246,0.000718246,0.000718246
6,936.81,0.88254,0.91679,0.99807,0.78935,0.7663,0.79887,0.60359,0.8413,0.88459,1.00445,0.000705558,0.000705558,0.000705558
7,1086.08,0.84387,0.86574,0.98603,0.82259,0.79059,0.81595,0.59507,0.82652,0.85109,1.01109,0.000692869,0.000692869,0.000692869
8,1237.31,0.85158,0.86553,0.9925,0.81798,0.81123,0.82037,0.60775,0.80571,0.84809,0.99649,0.000680181,0.000680181,0.000680181
9,1387.84,0.83055,0.83514,0.97823,0.74324,0.76994,0.75966,0.57738,0.83137,0.83531,0.9959,0.000667492,0.000667492,0.000667492
10,1538.7,0.85135,0.83601,0.98965,0.80442,0.83393,0.83818,0.63519,0.79355,0.7772,0.98225,0.000654804,0.000654804,0.000654804
11,1690.95,0.81578,0.78957,0.97141,0.85228,0.83898,0.85262,0.64557,0.7809,0.79039,0.99099,0.000642115,0.000642115,0.000642115
12,8566.67,0.83341,0.79908,0.9775,0.77915,0.84657,0.83893,0.62264,0.77712,0.75771,0.97053,0.000629427,0.000629427,0.000629427
13,8739.01,0.80335,0.76591,0.97138,0.83401,0.82386,0.8491,0.65357,0.76626,0.75371,0.96979,0.000616738,0.000616738,0.000616738
14,8919.38,0.8278,0.77587,0.97077,0.81702,0.84689,0.86232,0.64526,0.75522,0.74614,0.96566,0.00060405,0.00060405,0.00060405
15,9100.1,0.77248,0.72929,0.95991,0.84211,0.83958,0.85233,0.63725,0.77596,0.75139,0.97337,0.000591361,0.000591361,0.000591361
16,9283.43,0.77326,0.6935,0.94746,0.84571,0.81944,0.83695,0.62547,0.77115,0.69664,0.97479,0.000578672,0.000578672,0.000578672
17,9468.75,0.7947,0.70833,0.96172,0.86442,0.83213,0.86418,0.65683,0.74313,0.70084,0.9687,0.000565984,0.000565984,0.000565984
18,9657.05,0.76779,0.67034,0.9418,0.85729,0.80677,0.84459,0.65892,0.75149,0.68187,0.96185,0.000553296,0.000553296,0.000553296
19,9841.62,0.76937,0.67941,0.95282,0.8468,0.86442,0.87114,0.65489,0.74235,0.66816,0.95922,0.000540607,0.000540607,0.000540607
20,10025.8,0.7713,0.66924,0.94741,0.85485,0.86197,0.86454,0.66057,0.72685,0.65199,0.94866,0.000527919,0.000527919,0.000527919
21,10209.6,0.77955,0.66721,0.9482,0.82674,0.85164,0.86059,0.6564,0.72758,0.68785,0.94029,0.00051523,0.00051523,0.00051523
22,10395.4,0.73298,0.65304,0.94495,0.82548,0.87473,0.85785,0.65805,0.72722,0.69242,0.94915,0.000502541,0.000502541,0.000502541
23,10579.1,0.75876,0.65407,0.9445,0.84281,0.83181,0.85578,0.67224,0.71305,0.63256,0.93443,0.000489853,0.000489853,0.000489853
24,10759.2,0.77375,0.66598,0.95683,0.8805,0.84989,0.87905,0.67565,0.72204,0.63256,0.94048,0.000477165,0.000477165,0.000477165
25,10937.9,0.73634,0.63408,0.94213,0.87023,0.86986,0.90131,0.68519,0.72559,0.61997,0.94857,0.000464476,0.000464476,0.000464476
26,11115.5,0.76061,0.65202,0.94615,0.8419,0.87869,0.87276,0.67132,0.73219,0.63116,0.94773,0.000451787,0.000451787,0.000451787
27,11293.7,0.73249,0.62477,0.93501,0.82007,0.88496,0.87332,0.69505,0.70626,0.6126,0.93944,0.000439099,0.000439099,0.000439099
28,11472.9,0.73729,0.61591,0.93874,0.86296,0.86959,0.88825,0.69626,0.69655,0.59375,0.93698,0.000426411,0.000426411,0.000426411
29,11653.9,0.73545,0.60187,0.93041,0.84216,0.88789,0.87272,0.68337,0.68745,0.58632,0.929,0.000413722,0.000413722,0.000413722
30,11832.9,0.72987,0.59392,0.92913,0.8465,0.87496,0.88952,0.69679,0.69915,0.58249,0.93301,0.000401033,0.000401033,0.000401033
31,12011.5,0.71508,0.58637,0.92664,0.9035,0.83873,0.89008,0.69914,0.70523,0.58908,0.93073,0.000388345,0.000388345,0.000388345
32,12187.9,0.70871,0.58344,0.93308,0.85722,0.87663,0.88139,0.69392,0.68164,0.571,0.92271,0.000375656,0.000375656,0.000375656
33,12365.7,0.73535,0.58827,0.9335,0.85649,0.85288,0.87624,0.68559,0.69311,0.57527,0.93277,0.000362968,0.000362968,0.000362968
34,12544.6,0.71772,0.56851,0.92053,0.8777,0.87424,0.88266,0.70321,0.67924,0.55928,0.93341,0.00035028,0.00035028,0.00035028
35,12722.4,0.70247,0.56107,0.91784,0.86787,0.8834,0.87908,0.69413,0.6841,0.55904,0.93301,0.000337591,0.000337591,0.000337591
36,12900.1,0.72022,0.58014,0.92944,0.86008,0.89193,0.8968,0.7093,0.68274,0.55946,0.92799,0.000324903,0.000324903,0.000324903
37,13076.4,0.68173,0.55115,0.92053,0.89807,0.8723,0.89199,0.70189,0.68738,0.54664,0.92631,0.000312214,0.000312214,0.000312214
38,13252.6,0.70622,0.56083,0.92299,0.88643,0.86676,0.89173,0.70685,0.67891,0.5415,0.9259,0.000299525,0.000299525,0.000299525
39,13430.5,0.69161,0.55596,0.9172,0.89263,0.89842,0.89788,0.7175,0.66416,0.53626,0.9186,0.000286837,0.000286837,0.000286837
40,13608.3,0.7072,0.56048,0.9262,0.88787,0.86527,0.89179,0.71012,0.66898,0.52832,0.91933,0.000274148,0.000274148,0.000274148
41,22701.6,0.69151,0.53678,0.91643,0.86998,0.89786,0.89493,0.70556,0.66944,0.5258,0.9184,0.00026146,0.00026146,0.00026146
42,22839.8,0.71989,0.55249,0.91805,0.84922,0.89274,0.87838,0.69518,0.66273,0.54259,0.92784,0.000248772,0.000248772,0.000248772
43,22981.6,0.70609,0.55502,0.92249,0.87124,0.87976,0.88565,0.70082,0.67586,0.52926,0.93045,0.000236083,0.000236083,0.000236083
44,23123.5,0.67947,0.53657,0.91903,0.87761,0.87795,0.89981,0.72289,0.6629,0.51323,0.92059,0.000223395,0.000223395,0.000223395
45,23269.4,0.67332,0.53107,0.91632,0.85739,0.88055,0.89489,0.70891,0.67168,0.51071,0.9204,0.000210706,0.000210706,0.000210706
46,23412.1,0.66623,0.51203,0.90717,0.87169,0.89327,0.88936,0.70966,0.66271,0.52819,0.92158,0.000198018,0.000198018,0.000198018
47,23570.3,0.67975,0.53162,0.91998,0.87424,0.88313,0.8856,0.70865,0.65469,0.51524,0.91562,0.000185329,0.000185329,0.000185329
48,23712.5,0.67156,0.52626,0.91623,0.88076,0.90283,0.90021,0.72437,0.65836,0.50641,0.91743,0.000172641,0.000172641,0.000172641
49,23858.4,0.67394,0.51735,0.91396,0.8936,0.88233,0.89881,0.73003,0.66885,0.51676,0.91702,0.000159952,0.000159952,0.000159952
50,24003.7,0.65792,0.51658,0.90757,0.88927,0.89104,0.90668,0.7298,0.64519,0.49954,0.91816,0.000147264,0.000147264,0.000147264
51,24143.5,0.65419,0.50525,0.88681,0.90109,0.88163,0.90596,0.72532,0.66791,0.5049,0.92246,0.000134575,0.000134575,0.000134575
52,24286.7,0.66068,0.49165,0.88723,0.88486,0.88942,0.90468,0.71906,0.66722,0.52333,0.92425,0.000121887,0.000121887,0.000121887
53,24426.6,0.67059,0.49684,0.88491,0.89788,0.88193,0.90456,0.73049,0.65607,0.50532,0.91741,0.000109198,0.000109198,0.000109198
54,24569.5,0.65503,0.47919,0.87938,0.88797,0.90224,0.91022,0.7296,0.65797,0.4987,0.91654,9.65095e-05,9.65095e-05,9.65095e-05
55,24711.8,0.66107,0.4779,0.88269,0.88733,0.90151,0.91437,0.73441,0.65214,0.49425,0.91569,8.3821e-05,8.3821e-05,8.3821e-05
56,24852.6,0.65654,0.47321,0.87694,0.90185,0.91505,0.91418,0.73155,0.65146,0.48851,0.91308,7.11325e-05,7.11325e-05,7.11325e-05
57,24994.3,0.66041,0.47544,0.88383,0.91231,0.90559,0.91663,0.73091,0.64968,0.48456,0.90939,5.8444e-05,5.8444e-05,5.8444e-05
58,25137,0.62401,0.45796,0.87803,0.90562,0.90778,0.91293,0.73913,0.64457,0.48412,0.90711,4.57555e-05,4.57555e-05,4.57555e-05
59,25280.4,0.63974,0.46395,0.88099,0.89807,0.91341,0.90955,0.73959,0.64548,0.48714,0.91285,3.3067e-05,3.3067e-05,3.3067e-05
60,25432.7,0.64974,0.46386,0.88108,0.89641,0.91353,0.90847,0.73916,0.64003,0.48413,0.9091,2.03785e-05,2.03785e-05,2.03785e-05
